Sample,Target,Cq Mean,Cq Std. Dev,Target,Cq Mean,Cq Std. Dev,dcq,ddcq,2^-ddcq,error,plus,minus,species,region,sample number
MC_Upp_2,UBC,24.61666667,0.182300119,CRC1,25.50666667,0.307300071,0.89,0,1,0.357304725,1.281030411,0.780621593,Mc,upper,1
MC_Upp_3,UBC,24.57333333,0.176162803,CRC1,24.93666667,0.52003205,0.363333333,-0.526666667,1.440596862,0.549059802,2.107783179,0.984598102,Mc,upper,2
MC_Upp_4,UBC,24.455,0.134350288,CRC1,24.93,0.014142136,0.475,-0.415,1.333298677,0.135092561,1.464179632,1.214116986,Mc,upper,3
MC_N_1,UBC,22.58666667,0.136137186,CRC1,20.29333333,0.066583281,-2.293333333,-3.183333333,9.084035433,0.151547572,10.09018629,8.178213697,Mc,nectary,1
MC_N_2,UBC,22.79666667,0.162583312,CRC1,20.22333333,0.191398363,-2.573333333,-3.463333333,11.02978935,0.251130776,13.1269888,9.267643554,Mc,nectary,2
MC_N_3,UBC,24.51333333,0.172143351,CRC1,22.45,0.045825757,-2.063333333,-2.953333333,7.745365568,0.178138523,8.763285469,6.845684532,Mc,nectary,3
Mp_Upp_1,UBC,23.65,0.334215499,CRC1,33.81666667,0.522047252,10.16666667,0,1,0.619865577,1.53673199,0.650731557,Mp,upper,1
Mp_Upp_2,UBC,23.89666667,0.523672926,CRC1,33.255,0.176776695,9.358333333,-0.808333333,1.751187223,0.552705467,2.568700701,1.1938552,Mp,upper,2
Mp_Upp_3,UBC,23.54666667,0.932862977,CRC1,34.55333333,0.676781599,11.00666667,0.84,0.558643569,1.152504519,1.241861702,0.251302248,Mp,upper,3
Mp_Upp_4,UBC,23.51666667,0.066583281,CRC1,32.61333333,0.380306894,9.096666667,-1.07,2.099433367,0.386091526,2.743640631,1.606486073,Mp,upper,4
Mp_N_1,UBC,21.935,0.007071068,CRC1,21.49,0.028284271,-0.445,-10.61166667,1564.695994,0.029154759,1596.637877,1533.393131,Mp,nectary,1
Mp_N_2,UBC,22.325,0.176776695,CRC1,23.03666667,0.118462371,0.711666667,-9.455,701.8407961,0.21279881,813.3873872,605.5915188,Mp,nectary,2
Mp_N_3,UBC,22.165,0.16263456,CRC1,22.66666667,0.075718778,0.501666667,-9.665,811.8109559,0.179397139,919.3033187,716.8874676,Mp,nectary,3
Mp_N_4,UBC,22.85,0.510979452,CRC1,23.42,0.036055513,0.57,-9.596666667,774.2559028,0.512249939,1104.300127,542.8526074,Mp,nectary,4
Ml_Upp_1,UBC,21.505,0.205060967,CRC1,23.18333333,0.189296945,1.678333333,0,1,0.279075856,1.213417359,0.824118752,Ml,upper,1
Ml_Upp_2,UBC,22.26666667,0.283783955,CRC1,22.57666667,0.023094011,0.31,-1.368333333,2.581721416,0.284722087,3.144989979,2.119334407,Ml,upper,2
Ml_Upp_3,UBC,20.92,0.065574385,CRC1,25.53333333,0.165025251,4.613333333,2.935,0.130760617,0.177576275,0.147887936,0.115616862,Ml,upper,3
Ml_Upp_4,UBC,22.06666667,0.248260616,CRC1,23.585,0.035355339,1.518333333,-0.16,1.117287138,0.250765495,1.329391003,0.93902437,Ml,upper,4
Ml_N_1,UBC,20.395,0.51618795,CRC1,16.76666667,0.222336082,-3.628333333,-5.306666667,39.57909355,0.562034993,58.43260325,26.80874305,Ml,nectary,1
Ml_N_2,UBC,19.82333333,0.117189306,CRC1,17.02333333,0.030550505,-2.8,-4.478333333,22.29013321,0.121106014,24.24204242,20.4953869,Ml,nectary,2
Ml_N_3,UBC,20.75333333,0.070945989,CRC1,17.92,0.060827625,-2.833333333,-4.511666667,22.81114038,0.093452305,24.33766697,21.3803618,Ml,nectary,3
Ml_N_4,UBC,20.31666667,0.165025251,CRC1,17.72666667,0.065064071,-2.59,-4.268333333,19.27065005,0.177388463,21.79192587,17.04108006,Ml,nectary,4
Mv_Upp_1,UBC,24.78666667,1.543675268,CRC1,31.35666667,0.055075705,6.57,0,1,1.544657459,2.917347937,0.342777078,Mv,upper,1
Mv_Upp_2,UBC,22.68,0.070710678,CRC1,32.67666667,0.529181758,9.996666667,3.426666667,0.092997345,0.533885131,0.134643684,0.064232542,Mv,upper,2
Mv_Upp_3,UBC,23.28666667,0.028867513,CRC1,32.25666667,0.556267322,8.97,2.4,0.189464571,0.557015859,0.278744619,0.128780329,Mv,upper,3
Mv_Upp_4,UBC,23.41333333,0.880586925,CRC1,29.36666667,0.251661148,5.953333333,-0.616666667,1.533328345,0.915842053,2.892884492,0.812716795,Mv,upper,4
Mv_N_1,UBC,22.60333333,0.23501773,CRC1,21.27333333,0.172433562,-1.33,-7.9,238.8564458,0.291490423,292.3373639,195.1594588,Mv,nectary,1
Mv_N_2,UBC,23.17333333,0.185022521,CRC1,19.87666667,0.040414519,-3.296666667,-9.866666667,933.6038283,0.189384969,1064.567443,818.7514221,Mv,nectary,2
Mv_N_3,UBC,24.52666667,0.061101009,CRC1,21.83333333,0.037859389,-2.693333333,-9.263333333,614.5273173,0.071879529,645.9205285,584.6598878,Mv,nectary,3
Mv_N_4,UBC,22.65,0.060827625,CRC1,20.46333333,0.045092498,-2.186666667,-8.756666667,432.5330809,0.075718778,455.840546,410.4173438,Mv,nectary,4
